topic,answer_type,problem,expected_answer
TV shows,Other,In which episode and season of South Park does Bill Cosby (BSM-471) first appear? Give me the number and title.,"Season 4 Episode 12: ""Trapper Keeper"""
History,Other,"The WWI Q-Ship ""Salvia"" was partially reconstructed with a false counter-stern to resemble what kind of ship?",tramp
Geography,Place,Which district in Kashmir was originally known as Panwangam?,Pulwama
Art,Number,"In 1810, François Aimé Louis Dumoulin published a collection of how many engravings themed on the journey of ""Robinson Crusoe""?",150
Music,Date,"What day, month, and year was Carrie Underwood's album ""Cry Pretty"" certified Gold by the RIAA?","October 23, 2018"
TV shows,Person,"In the series ""El guardián invisible,"" who portrays the character Alfonso Álvarez de Toledo?",Ramón Barea
Politics,Date,"On what day, month, and year was David Sweet, Canadian politician, born?","June 24, 1957"
Politics,Place,"From which high school did the first female governor of Hawaii, United States, graduate?",Birmingham High School
Politics,Date,"In which month and year did Khusro Bakhtiar (former Federal Minister for Planning, Development, and Reforms, Pakistan) announce that the government was considering establishing a Pak-China business council to promote the private sector's role in the China-Pakistan Economic Corridor (CPEC)?",Jun-19
Other,Person,What is the first and last name of the woman whom the British linguist Bernard Comrie married in 1985?,Akiko Kumahira
Sports,Person,What are the first names and surnames of the figure skaters who came 21st in the ice dance category at the 2022 Winter Olympics in Beijing?,Katharina Müller and Tim Dieck
Music,Place,What is the name of the kibbutz that Simon Le Bon lived on in 1978?,Gvulot.
Other,Person,Who won the 1991 Ig Nobel Prize for Peace?,Edward Teller
TV shows,Other,"Why did David Chow come to Genoa City on ""The Young and the Restless""?","To avenge the murder of his former fiancée, Carmen Mesta."
TV shows,Other,"In which season and episode of Archer does Sterling go into a rampage? Give me the season, number, and title of the episode.","Season 2, Episode 9 ""Placebo Effect"""
Art,Date,"On what day, month, and year was Algerian artist Mohammed Racim born?","June 24th, 1896."
Art,Number,"How many original artworks were shown in the Society of Illustrators' first ""Annual Exhibition""?",350
Politics,Date,In what year was Eugenius Aristides Nisbet elected to the Georgia House of Representatives?,1827
Politics,Date,What day/month/year was it announced that the politician Ibrahim Rugova had been diagnosed with lung cancer?,05-Sep-05
Other,Place,"In 2022, which university did Honda Battle of the Bands (HBOB) select to be the first-ever HBCU campus to host the in-person event?",Alabama State University
Music,Person,"Who wrote the lyrics to ""Dream Serenade,"" the opening theme song for the radio program ""The American Album of Familiar Music""?",Alfred Bryan
Art,Date,In what year did Etta Cone last visit Europe?,1938
Other,Date,"What day, month, and year was Vladislav Kaborda born?","July 24, 1995"
Music,Date,In what year was John Williams inducted into the Classical Music Hall of Fame?,2004
Politics,Date,On which month and day was the 1985 St. Louis mayoral election held?, April 2
History,Number,How many units of the Infanterikanonvagn 72 (1952) were delivered to the Swedish army from 1953 to 1954?,36
Geography,Date,"In which year did Askham Richard, the village in the North of England, first become a conservation area?",1975
Geography,Place,What are the GPS coordinates of Malawi?,"13° 15' 4.38"" S, 34° 18' 5.50"" E."
Science and technology,Date,"On which day, month, and year did the Hubble Telescope enter a partial safe mode following suspected hardware problems in its most advanced instrument, the Wide Field Camera 3 instrument?","January 8, 2019"
Geography,Place,"Before 2013, what was the municipal division of Gusevsky District in Kaliningrad Oblast incorporated as?",Gusevsky Municipal District
Science and technology,Other,"What were Martin Haspelmath's and Michael Cysouw's respective affiliations when they authored ""Identifying Semantic Role Clusters and Alignment Types via Microrole Coexpression Tendencies""?",Max Planck Institute for Evolutionary Anthropology and Philipps-Universität Marburg
Sports,Person,Who was Racing's top scorer in the Copa Libertadores 1967?,Norberto Raffo
Politics,Date,"What were the date, month, and year of death of the former PM of J&K, Mehr Chand Mahajan?",11 December 1967.
Other,Other,What was Beloit College's Center for the Sciences renamed in 2017?,Marjorie and James Sanger Center for the Sciences.
Art,Person,"From which dealer's shop did the Florentine authorities buy the ""Pitti Tondo"" in 1823?",Fedele Acciai
Science and technology,Person,Who was the director of the Lebedev Physical Institute of the Russian Academy of Sciences between 1951 and 1972?,Dmitri Skobeltsyn
Other,Date,In what year was Alain Stanké made a member of the Order of Canada?,1998
Science and technology,Person,"What are the first and last names of the scientist who collaborated with Vincent Joseph Schaefer to issue the U.S. patent for ""Method and Apparatus for Producing Aerosols"" in 1943?",Langmuir Irving
Sports,Person,"Who was the Swedish footballer who spent his entire career as a winger for the club GAIS in the Swedish Allsvenskan from 1949 to 1960 and passed away on February 26, 2017?",Frank Jacobsson
,,What is the name of the statue that Rosemarie Trockel made for the city of Frankfurt in 1994?,Frankfurter Engel
Sports,Other,What team finished with 38 points at the end of the 2021-2022 Premier League season?,Leeds United
Sports,Other,What position was Everton in when Rafael Benítez was sacked in the 2021-22 Premier League season?,15th place
Geography,Date,"In which year was the municipality of Sonsón, Antioquia, Colombia, founded?",1800
Music,Person,Who replaced Don Santos in the band group Immature?,"Kelton ""LDB"" Kessee"
TV shows,Date,"In Season 3 of the American version of ""The Circle,"" in which episode did Vince enter the game?",7
Geography,Number,What is the length in meters of Abdullah Bridge in Srinagar?,390 metres
Other,Number,How many acres did the University of Alabama purchase to expand its campus in 2010?,168
Other,Number,What is the first vampire number in recreational mathematics obtained by a 3x3-digit multiplication?,102510
Politics,Place,In which district of Uttarakhand was Ila Pant (an Indian politician) born?,Nainital district
Science and technology,Place,At which university was the mechanical engineer Gang Chen an assistant professor from 1993 to 1997?,Duke University
Sports,Number,How many medals did Ken Skupski win representing England at the 2010 Commonwealth Games in Delhi?,two medals.
Sports,Person,Who replaced Bradie Tennell in the 2021 Skate America?,Starr Andrews
Art,Person,"Which nobleman did Caravaggio beat on November 28, 1600?",Girolamo Stampa da Montepulciano
Politics,Other,What company was Natasha Merle a civil rights fellow at from 2013 to 2015 in New York City?," Fried, Frank, Harris, Shriver & Jacobson"
Geography,Date,"What year was the municipality of San Francisco, Antioquia, Colombia, founded?",1830
History,Number,"According to Henry Scadding, author of ""Toronto of Old,"" how many people died on the HMS Ontario in 1780?",172
Politics,Date,"In which month and year was it reported that the German Defense Ministry planned to replace its Tornado aircraft with a purchase of 30 Boeing F/A-18E/F Super Hornets, 15 EA-18G Growlers, and 55 Eurofighter Typhoons?",Apr-20
Sports,Number,"How many corners did Barcelona take in the Champions League semi-final match between Barcelona and Milan on April 27, 2006?",3
Science and technology,Person,Which two scientists (first and last names) are credited with first isolating *Azotobacter salinestris* from saline soils?,William J. Page and Shailaja Shivprasad 
Art,Person,Which Venetian artist painted the portrait of Maria Theresia Walburga Amalia Christina in 1730?,Rosalba Carriera
Politics,Date,"On what day, month, and year was David Russell Wartinbee, a Republican politician from Wisconsin in the United States who served in the Wisconsin State Assembly from 1961 to 1967, born?",11-Nov-03
Video games,Other,What version of Dota 2 was The International 2016 played on?,6.88b
Politics,Date,On which month and year were the names of the suspects in the Sagar-Runi murder case announced by Home Minister MK Alamgir?,Oct-12
Geography,Number,"What is the forest cover area of Tamil Nadu in square kilometers, according to the India State of Forest Report 2019?","26,364.02"
Art,Date,In which year was production started for the Crayola color with hexadecimal code #D9E650?,1926
,,"What is the exact date when the first CRISPR-edited babies were reportedly born, according to a 2019 *Nature* article?","November 25, 2018"
Politics,Number,"On June 24, 2018, how many more votes did the winning candidate get in total than Muharrem İnce?","1,09,90,502"
Science and technology,Person,"What is the surname of the individual who won the Gordon E. Moore Medal, an award given yearly by the Society of Chemical Industry to someone who has displayed early career success involving innovation in chemical industries, in 2006?",Jonathan M. McConnachie
Other,Other,What disease was Elizabeth Esteve-Coll diagnosed with that forced her to step down as Vice-Chancellor of the University of East Anglia?,multiple sclerosis diagnosis
Science and technology,Date,"What day, month, and year was Notepad++ version 7.8.8 released?","June 28, 2020"
TV shows,Other,What is the name F.R.I.D.A. an acronym for in Critical Role Campaign 3?,Far Ranging Integrated Defense Aeormaton
Science and technology,Date,"In which month and year did Dolly the sheep give birth to her first lamb, Bonnie?",Apr-98
Art,Person,Which architects designed the Abasto?,"José Luis Delpini, Viktor Sulčič and Raúl Bes"
Other,Other,What drag family was Monét X Change originally a member of before starting her own?,Davenport.
Politics,Date,"What day, month, and year did Sara Duterte resign from Lakas-CMD?",19-May-23
Art,Number,How old was Kara Walker when she first received the MacArthur Fellowship?,28 years old.
Geography,Number,How many houses did the village of Bure Nangal in Batala have according to the 2011 Census of India?,211
Music,Person,What was the original surname of conductor David Randolph?,Rosenberg.
Science and technology,Person,Who won the American Mathematical Society David P. Robbins Prize in 2010?,Ileana Streinu
Sports,Date,"What were the day, month, and year the first wooden roller coaster manufactured by Rocky Mountain Construction officially opened?","March 15, 2013"
Other,Other,Which award did Reza Aslan receive in 2014?,The Intersections International Award
History,Person,Who laid the foundation stone of Jamia Millia Islamia?,Mahmud Hasan Deobandi.
Art,Place,In what city did Marina Abramović perform Rhythm 4 (1974)?,Milan
Politics,Date,"On what day, month, and year was former Bangladeshi Inspector General Benazir Ahmed born?",01-Oct-63
,,"What were the day, month, and year when Britannica released a Google Chrome extension, ""Britannica Insights,"" which shows snippets of information from Britannica Online whenever the user performs a Google search, in a box to the right of Google's results?",07-Jun-18
Video games,Date,What patch removed the Silver Armor from the crafting recipe for Jungle Armor in Terraria?,1.1
Art,Place,Which university gave El Anatsui an honorary doctorate in 2016?,Harvard University
Other,Number,"The Jensen Interceptor (1950), produced from 1950 to 1957, had a wheelbase measurement of what in millimeters?","2,845 mm"
Science and technology,Number,"What is the ChemSpider ID of Axitinib, a small molecule tyrosine kinase inhibitor developed by Pfizer?",4953153
Politics,Date,"In which year did Fazal Ilahi Chaudhry, former Speaker of the National Assembly of Pakistan, join the Muslim League?",1942
Politics,Date,"Tell me the day, month, and year President Bujar Nishani became Minister of Interior.",20-Mar-07
Politics,Date,"What were the month, date, and year when the South Korean Supreme Court legalized conscientious objection as a basis for rejecting compulsory military service?","November 1, 2018"
Other,Person,"What were the names of the two puppets that appeared in Atlanta, Georgia-based Round Table Pizza's TV commercials from 2003 to 2005?",Matt and Marcus
Other,Date,"On what day, month, and year did The Palmolive Hour radio program stop being broadcast on NBC?",29-Jul-31
Geography,Date,"What year was the municipality of Belmira, Antioquia, Colombia, founded?",1757
History,Place,Name the school where the Kusumbai Motichand Planetarium was established in Pune in 1954.,New English School
TV shows,Date,In what month and year did Billy Miller earn a Daytime Emmy nomination for his portrayal of Jason Morgan in the category of Outstanding Lead Actor?,Mar-18
TV shows,Number,What week was Katie Sapienza eliminated in Season 1 of The Bachelor?,2
Other,Number,"In the oracle card deck created by Kyle Gray titled ""The 22 Archangels Oracle,"" how many cards are in the deck?",22
Politics,Date,In which year was G. S. Mahajan appointed as the Vice Chancellor of Delhi University?,1953
Politics,Other,"In February 2017, what board did Governor Larry Hogan nominate Wes Moore to serve on?",University System of Maryland Board of Regents.
Other,Person,What is the name of the contestant who was the 4th runner-up at Miss Supranational 2013?,Esonica Veira
,,"What day, month, and year did Salvador Dalí's mother pass away?",Salvador Dali's mother died on 6 February 1921.
Politics,Place,What are the three cities where Arvind Kejriwal spent most of his childhood?," Sonipat, Ghaziabad, Hisar"
Science and technology,Date,In what month and year did Jacques Frédéric Français publish a work in which he gave a geometric representation of complex numbers with interesting applications?,September 1813
Science and technology,Other,Kiyoshi Oka entered the Imperial University of Kyoto in 1922 to study what subject?,physics
Other,Number,How many daughters did the mathematician Hsien-Chung Wang have?,3
Art,Person,What was the first and last name of the third director of the Metropolitan Museum of Art?,Edward Robinson
Other,Person,Who set the world record for the longest time spent in a snow globe in 2007?,Ben Eckerson
Science and technology,Number,"How many drivers participated in the overnight study in the research paper titled ""Detecting Driver Mental Fatigue Based on EEG Alpha Power Changes During Simulated Driving"" by Faramarz Gharagozlou et al.?",12
Art,Date,What year did Jasper Johns commission Richard Serra to make a splash piece?,1969
,,"At which college in Pune did the 7th Chief Justice of India, P. B. Gajendragadkar, study for his M.A.?",Deccan College
TV shows,Other,"What phrase did Bird Person say to Morty in his native language about making the right choice or the one that lets you sleep at night in Season 1, Episode 11?",gubba nub nub doo rah kah
Music,Person,"The ""Un'alma innamorata"" was written by what composer in 1707?",George Frideric Handel
History,Person,What is the name of the individual in whose memory the Taj Mahal was built by Mughal Emperor Shah Jahan?,Mumtaz Mahal
Art,Other,What was the name of the other collection released by Undercover in 2016 alongside 'The Greatest'?,Instant Calm
Geography,Place,"What is the name of the district with the Regional Transport Office (RTO) code SK-06 in Sikkim, India?",Soreng
Art,Person,Who was the architect of Leamington who designed the church of St. John the Baptist that was built between 1877 and 1878?,John Cundall
TV shows,Date,"On what day, month, and year did NHK Hall, located in Shibuya Ward, Tokyo, start operation?","June 20, 1973"
Politics,Date,"From what year to what year did the Ethiopian politician Billene Seyoum Woldeyes study International Relations at the University of British Columbia, Vancouver?",2004-2008
Politics,Other,What was the 2018 Word of the Year according to the American Dialect Society?,tender-age shelter
Politics,Other,With which political party was Karl Wilhelm Rudolf von Bennigsen associated?,National Liberal Party
Sports,Number,How many losses did Adolf Anderssen have in his 1864 chess match against Berthold Suhle?,3
Geography,Other,"What is Harees, a famous dish of Armenia and the Arabian Peninsula, called in Zanzibar?", boko boko
Art,Other,What was the name of Helmut Lang's solo exhibition in Vienna in 2017?,Various Conditions
Other,Date,"In what year was the Ajah campus of Pan-Atlantic University (Lagos, Nigeria) completed?",2003
Other,Person,What was the name of the director of the Clayman Institute for Gender Research from 1997 to 2001?,Laura Carstensen
Science and technology,Person,Who was the first female chemist to receive the Francis P. Garvan-John M. Olin Medal?,Emma Perry Carr
Science and technology,Other,In which two fields of study did computer scientist Nancy Amato receive two bachelor's degrees from Stanford University in 1986?,Mathematical Sciences and Economics 
,,In which episode and season of South Park is Mr. Mackey's first appearance? Please give me the number and title.,"Season 1, Episode 9: Mr. Hankey, the Christmas Poo"
Art,Number,For how many days was Frida Kahlo's first solo exhibit held?,15
History,Date,"What were the month, day, and year that Thomas Randolph wrote to the Earl of Leicester, stating that he was unable and unwilling to commit his opinions on Mary's actions on paper for fear of appearing ""malicieus foolyshe and unadvised""?",14 February 1566
Video games,Number,"How many DLCs were released for Elder Scrolls V: Skyrim as of December 5, 2012?",3
Politics,Person,Who was the first person to be an American diplomatic minister to Romania and Serbia?, Eugene Schuyler
,,What prize was El Anatsui awarded in 1998 in Osaka?,Bronze Prize
Art,Date,What year did the Victoria and Albert Museum buy the small vacant triangle of land opposite its main entrance to ensure that the view from Thurloe Square could never be obscured by new buildings?,1863
Other,Other,"In the crest of the Agnew clan, what animal is depicted ""issuant and regardant Proper""?",Eagle
Science and technology,Number,"Give me the DOI of the paper ""New avenues and challenges in semantic map research.""",10.1515/zfs-2021-2039
TV shows,Person,What were the names of the two presenters of the 16th edition of the Miss World pageant?,"Peter West, Michael Aspel"
Sports,Date,"What month, day, and year did Southeastern Louisiana University retire Robin Roberts' jersey?",05-Feb-11
Sports,Date,"What month, day, and year did Briana Scurry marry Chryssa Zizos?",01-Jun-18
Music,Date,In what year did conductor David Randolph graduate from City College of New York?,1936
Politics,Date,"What day, month, and year did Australian politician John Joseph Hall die?",30-Jun-49
Other,Date,"In which year was Motaz Azaiza named Man of the Year by GQ Middle East, with editor Ahmad Ali Swaid?",2023
Other,Date,"On what day, month, and year did Mereta Mita die, and what was the reason behind her death?","Mita died suddenly on 31 May 2010, after collapsing outside the studios of Māori Television."
Science and technology,Number,What is the boiling point of the element dysprosium in Fahrenheit?,"4,653 °F"
Other,Date,"In which year did Atul Gawande earn an M.A. in Philosophy, Politics and Economics (PPE) from Balliol College, Oxford?",1989
TV shows,Number,During which Mob Psycho 100 Season 1 episode does Teru meet Mob?,"Episode 4: ""Idiots Only Event ~Kin~"""
Science and technology,Date,In what year did computer scientist Dana Angluin join the faculty at Yale University?,1979
Politics,Other,"Toronto mayors Sir Adam Wilson (Mayor from 1859-1861), John George Bowes (Mayor from 1861-1864), and Francis Henry Medcalf (Mayor from 1864-1867) were elected to office by which body?",The public
Other,Person,Who won the Emil Artin Junior Prize in Mathematics in 2009?,Grigor Sargsyan
Science and technology,Place,At what zoo did August Scherl demonstrate his gyro-monorail to the public?,Berlin Zoological Gardens
Art,Number,How many egg-shaped layers of float glass is William Cochran's sculpture *Pillar of Fire* made of?,370
Music,Place,Which city in Athens was Foivos Delivorias born in?,"Kallithea, Athens"
TV shows,Other,"In the British drama series Happy Valley, in which season and episode is Kirsten McAskill murdered by Royce?",Season 1 episode 3
Other,Date,"On what day, month, and year was Harold Shipman married to Primrose May Oxtoby?",5 November 1966.
Other,Person,Who was the first cardiologist in Kashmir?,Dr Upendra Kaul
Politics,Date,In which year did Maharaj Kishan Bhan (an Indian pediatrician and clinical scientist) receive the Padma Bhushan for civil services?,2013
Politics,Date,"On what day, month, and year was Vladas Mironas, the 14th Prime Minister of Lithuania, born?",22 June 1880.
TV shows,Other,In which episode and season of Rick and Morty is Jerry floating around for 10 hours? Give me the number and title.,"Episode 5, ""Rattlestar Ricklactica"""
Politics,Date,"On what day, month, and year was Michaela Hübschle, a Namibian politician and former Deputy Minister for Prisons and Correctional Services, born?",21 September 1950.
Video games,Person,Which companion can Josephine develop feelings for (other than the Inquisitor themselves) in Dragon Age: Inquisition (2014)?,Blackwall
Science and technology,Person,Who received the Farrer Medal in 2014?,Dr. Elizabeth Dennis
Art,Other,What is the name of the group exhibition that Helmut Lang participated in during 2017 in Dublin?,Wormwood
Science and technology,Date,Which year was the drug Metformin introduced as a medication in France?,1957
Science and technology,Other,What is the name of Jupiter’s third-largest moon?,Io
Politics,Date,On what date did President Kagame receive an honorary degree in Ethiopia?,"JULY 2, 2016"
TV shows,Date,"On what day, month, and year was Canal+ Box Office launched?","September 1, 2023"
Geography,Date,"What year was the municipality of Boyacá, Boyacá, Colombia, founded?",1537
Other,Date,"On what day, month, and year did Randy Johnston (model) die?","October 11, 2008"
,,"On what day, month, and year did the 2nd ASEM Transport Ministers' Meeting begin?",24-Oct-11
Art,Date,"In what year did Claribel and Etta Cone acquire Henri Matisse's ""Blue Nude"" at the sale of John Quinn’s collection in Paris?",1926
Politics,Date,What year did Australian politician William Lawrence Morrison graduate from the University of Sydney?,1949
Politics,Other,"What was the name of the high school that the 5th State President of South Africa, serving from 1979 until 1984, attended?",Jan van Riebeeck High School
Other,Person,What is the name of the sole survivor of the Saha Airlines 2019 Boeing 707 crash?,Farshad Mahdavinejad
Video games,Date,"Specify the exact day, month, and year Capcom reported that its servers were affected by ransomware, scrambling its data, and the threat actors, the Ragnar Locker hacker group, had allegedly stolen 1TB of sensitive corporate data and were blackmailing Capcom to pay them to remove the ransomware.",02-Nov-20
Other,Other,In which specific issue did Black Condor II perish?,Infinite Crisis #1
TV shows,Date,In which season and episode did Joe Friday kill a burglar who was stealing from a coin box in the TV series Dragnet 1967?,S2 E2
Politics,Date,"In what year was Fazal Ilahi Chaudhry, former president of Pakistan, elected as the Speaker of the National Assembly?",1972
TV shows,Number,How many maxi challenges did Sharon Needles win in Season 4 of RPDR?,4
Politics,Date,"Before becoming the 37th president of the United States, on which date, month, and year did Richard Nixon retire from the U.S. Naval Reserve?", 1 June 1966
Science and technology,Date,"On what day, month, and year was the first unplanned flight of the General Dynamics F-16 Fighting Falcon?","January 20, 1974"
Geography,Date,"What month, day, and year did Phase 2 of Kunming Metro's Line 6 open?",23-Sep-20
Sports,Date,"On what day, month, and year was Cléo Hamon, a French pair skater, born?","November 25, 2001"
Science and technology,Other,"What type of eclipse occurred on August 28, 1802, at 51.3°N, 105.7°E?",Annular solar eclipse
TV shows,Other,Which TV station did Belva Davis make her debut on?,KTVU
Science and technology,Other,"What are the four keywords of the paper ""New Avenues and Challenges in Semantic Map Research""?","semantic maps, inference, graph, emotions"
Politics,Date,"What day, month, and year was Sergio Garavini, an Italian politician, writer, and trade unionist, born?",18-May-26
Geography,Date,"On which day, month, and year was Dolmar-Salzbrücke formed as a Verwaltungsgemeinschaft?",01-Jan-12
History,Other,"After the War of 1812, Edward William McBride (1791-1834) worked as what for the king's printer, John Cameron, on the York Gazette until April 1815?",Assistant
History,Person,"In June 1637, Thomas Ballard of Wandsworth accused Richard Kestian of publicly calling him a liar at which man's house in Putney in front of justices of the peace?",Sir Abraham Dawes
History,Date,"What day, month, and year did Emperor Xizong of Jin become the emperor of the Jin dynasty?","10 February, 1135"
Politics,Date,"On what date (day/month/year) was Henry Charles Howard, 13th Duke of Norfolk, elected to the House of Commons for Horsham?","May 4, 1829"
Politics,Date,"In which year did the Royal Society of Arts launch the Adelphi Charter, aimed at creating an international policy statement to frame how governments should make balanced intellectual property law?",2005
Sports,Person,"Who was the referee in the rugby match between Georgia and Portugal that was part of the 2022 Rugby Europe Championship on February 6, 2022?",Romain Poite
Science and technology,Number,"As of March 2016, how many companies and institutions were developing vaccines against Zika, and how long did they state a vaccine is unlikely to be widely available?",18
Art,Other,What prize did Jun Takahashi win in 1997?,The New Face Prize
TV shows,Person,What's the name of Mob's brother's Spanish VA in Mob Psycho 100?,Javier Olguín
Politics,Date,"Between what years did Ashraf Abbasi, the first Deputy Speaker of the National Assembly of Pakistan, remain a member of the West Pakistan Assembly?",1962-1965
TV shows,Other,"In which Community episode is Evil Abed's first appearance? Please give the season, episode number, and title.","Season 3 Episode 4 ""Remedial Chaos Theory"""
Geography,Number,What were the population counts for the two municipalities of Mitrovica according to the 2011 census?,"97,686"
TV shows,Number,"For how many episodes did Gabrielle Fitzpatrick star in ""Roar""?",1
Science and technology,Other,"In the 2022 research paper titled ""Analyzing EEG Data with Machine and Deep Learning: A Benchmark"" by Danilo Avola et al., what are the four machine learning models that were used?","MLP, CNN, LSTM, and GRU."
Other,Other,Who is the god with the Hawaiian name Kamaʻehuakanaloa?,Kanaloa
Art,Date,During which years did William Butts Ittner serve as the president of the Architectural League of America?,1903 to 1904
Sports,Place,In what building was the meeting that founded the Fédération Internationale d'Escrime held?,The Automobile Club de France
Science and technology,Date,In which year was *Racosperma drummondii* transferred back to the genus *Acacia*?,2006
Geography,Number,What is the distance (in km) between the city of Udhampur and the Krimchi Temples in Jammu?,12
TV shows,Other,"What was the song for the lip sync in Episode 5, Season 1 of RPDR?","""Stronger"" by Britney Spears"
Science and technology,Other,What was the name of the minor planet discovered by the Soviet astronomer in the name of Pyotr Kapitsa in 1982?,3437 Kapitsa
History,Date,What year did Elizabeth Esteve-Coll become the first female director of the University of Surrey Library?,1982
Science and technology,Person,Who was awarded the Rumelhart Prize in 2011?,Judea Pearl
Geography,Place,"Which peninsular plateau of India extends 900 km, with many peaks rising above 1,000 m?",Satpura Range
History,Date,In which year did Homa Shaibany (an Iranian surgeon) receive a scholarship to study medicine at London University?,1930
Music,Number,"In the 2009 US Billboard 200 year-end chart, what position did Miranda Lambert's album ""Revolution"" place?",170th
Science and technology,Date,"On which day, month, and year did the Bell UH-1H Iroquois helicopter have its first flight?",20-Oct-56
,,"In TWD Season 11, Episode 10, we learn that Connie got whose uncle kicked out of Congress before the apocalypse?",Pamela Milton's uncle
Other,Person,Who was awarded the Rumelhart Prize in 2014?,Ray Jackendoff
Art,Person,"Who sketched the ""Taddei Tondo"" following its arrival at the Royal Academy and published a letter in the Athenaeum of 3 July 1830 praising how it was lit?",John Constable
,,What was the name of the first elephant born in Valencia Bioparc?,Makena
Geography,Date,"What year was the municipality of Carolina del Príncipe, Antioquia, Colombia, founded?",1787
Art,Person,Who did the musical composition for the play Helen as presented in the 2022 Athens Epidaurus Festival?,Angelos Triantafyllou
Geography,Date,"What month, day, and year was Ancy-Dornot established?",01-Jan-16
History,Date,"On what day, month, and year did Frank Schreider, an American explorer, die?","January 21, 1994"
Sports,Other,What was the nationality of the scientists who used lasers to measure Usain Bolt’s performance in the different stages of a 100-meter race held in September 2011?,Belgian
Geography,Date,"In which year was the town of Babanango, in the KwaZulu-Natal province of South Africa, founded?",1904
Sports,Number,In how many games did Matija Radović appear for the Hofstra Pride during the 2017-18 season?,25
Other,Date,In what year was the Miami-Dade County C-Pass replaced with the SunPass?,2014
Science and technology,Date,In what year was Professor Ascher Herman Shapiro awarded the Benjamin Garver Lamme Award by the American Society for Engineering Education?,1977
Art,Date,Julie Mehretu was awarded the Barnett and Annalee Newman Award for the first time in what year?,2013
Other,Person,What is the name (first and last) of the 11th President of the University of Northern Iowa?,Mark A. Nook
Science and technology,Person,Name the mission director of the Rohini Satellite 1 (RS-1) satellite launch in 1980.,Dr. Kalam
Politics,Date,"What month, day, and year was House Resolution 7004, ""Addressing the Governor's unacceptable actions in matters related to the appraiser certification program,"" introduced against Governor Kristi Noem?","February 24, 2022"
,,Who won the gold medal in men's foil at the first European Fencing Championships?,Andrea Borella
Geography,Number,"As of the 2020 Census, what was the population of Wheatland, Iowa?",775
Music,Place,In which town was the South African 80s child pop star Ricardo Groenewald born?,Humansdorp
